id,video_id,title,url,downloaded_comment_count,comment_file_found,invalid_comment_lines
796,zxuICI0kL3s,"Don’t Turn Around, Win $10k",https://www.youtube.com/watch?v=zxuICI0kL3s,31,yes,0
49,zvBXpoBegwE,I Got T-Series To Subscribe To Me,https://www.youtube.com/watch?v=zvBXpoBegwE,31,yes,0
48,znUF-QobGGY,i really be trying to ask simple questions,https://www.youtube.com/watch?v=znUF-QobGGY,31,yes,0
47,znT63TRyKHs,Bryan pulled a Kevin on Kevin 😂,https://www.youtube.com/watch?v=znT63TRyKHs,31,yes,0
46,zfvw_vnmRYQ,Harrison Ford Tells The GREATEST Joke of All Time! BROCCOLI?,https://www.youtube.com/watch?v=zfvw_vnmRYQ,31,yes,0
45,ypYyHMH0n4M,"Your days are numbered, clown! 🤡 #HappyGilmore #AdamSandler #Shorts",https://www.youtube.com/watch?v=ypYyHMH0n4M,31,yes,0
44,yjdxNsuJk2o,Adam Sandler Bumming at the Oscars‼️🤣😂 #hilarious #conan #adamsandler #chalamet #oacars #comedy,https://www.youtube.com/watch?v=yjdxNsuJk2o,31,yes,0
43,yiWbBC9rUMM,Swedens next top model | Crowd work,https://www.youtube.com/watch?v=yiWbBC9rUMM,31,yes,0
42,yUO2TxF5uh8,Adam Sandler’s Funny Advice on Swimming With His Kids #adamsandler #celebrity,https://www.youtube.com/watch?v=yUO2TxF5uh8,31,yes,0
41,yRFeTgwx5lA,Jeremy Isn't Being Polite Enough,https://www.youtube.com/watch?v=yRFeTgwx5lA,31,yes,0
40,yR2L3JrG6GA,Ariana Grande & Jimmy Fallon Speak Japanese 😭,https://www.youtube.com/watch?v=yR2L3JrG6GA,31,yes,0
39,yEpsfaSr7F8,Joe Rogan Reacts To Funny Clip Of Joe Biden😂,https://www.youtube.com/watch?v=yEpsfaSr7F8,31,yes,0
38,y9TRCHqR6uw,Things Got Real With Roddy Piper and Bill Maher #wwe #aew #shorts,https://www.youtube.com/watch?v=y9TRCHqR6uw,31,yes,0
37,y91-2ITboys,alpharad’s videos referenced in jaiden animation’s video,https://www.youtube.com/watch?v=y91-2ITboys,31,yes,0
36,xuSJ_zQ_xvk,That’s What She Said - Adam Sandler 🤣,https://www.youtube.com/watch?v=xuSJ_zQ_xvk,31,yes,0
35,xsuQF59QhuE,Storyboard vs Animation: I got a cat. (shot 20),https://www.youtube.com/watch?v=xsuQF59QhuE,31,yes,0
34,xqvkHLatvE8,the last reveal of Season 2,https://www.youtube.com/watch?v=xqvkHLatvE8,31,yes,0
33,xgbjTu_qiJk,amazing kids on the Steve Harvey show #entertainment #love #goodvibes #world #everyone #reels #usa,https://www.youtube.com/watch?v=xgbjTu_qiJk,31,yes,0
32,xUrrguHV5SI,Adam Sandler's Daddy Pool Advice,https://www.youtube.com/watch?v=xUrrguHV5SI,31,yes,0
31,xTmRY5L7wT0,Who has kissed Trump’s ass the most this week!? 😘🍑🏆 #TheGoldenGroveler #Kimmel,https://www.youtube.com/watch?v=xTmRY5L7wT0,31,yes,0
