video_id,dataset_row_id,humor_bucket,comments_scored,sentiment_negative,sentiment_neutral,sentiment_positive,identity_attack,insult,obscene,severe_toxicity,threat,toxicity,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_neutral,emotion_sadness,emotion_surprise
0yD_LRms_OQ,759,regular_humor,31,0.33812679545653446,0.4712610548782733,0.19061214981540556,0.030822692160596018,0.026156043003861523,0.03228653118158916,0.012256742099951578,0.0014577035364063998,0.067149477246623,0.11435137707139215,0.10334318925085809,0.06519895764781282,0.10569007908211901,0.4819967383068175,0.041324719951878634,0.08809495730430729
0zMIJVgKTxk,760,not_humor,31,0.21495248572600464,0.5840042590373947,0.20104325733958714,0.0005907137608794015,0.004532266421818114,0.0020043869829556396,0.00019262988831953055,0.0002985007698542529,0.06511680413255348,0.08217028568633983,0.0693656103197305,0.04171976397535013,0.027441742067645873,0.5279785374239567,0.08793885423050772,0.16338520421977004
11kxeAnGAjY,763,not_humor,17,0.2696249144261374,0.48206000079346056,0.24831508023335652,0.0002006280787206967,0.0003609958486563033,0.0004738047188284862,0.00011071678540354376,0.00013139231861500507,0.007375268012230449,0.10790032438714714,0.03967920922235969,0.09302778328385423,0.06921146855251316,0.6004598399295527,0.0485600948552875,0.041161282768692166
160bNWEp07k,766,regular_humor,31,0.20911957930412986,0.32387393193259356,0.4670064894993219,0.009799989928480147,0.01607189115255155,0.03314379698103068,0.005740311567581469,0.0006348766661587081,0.08786471773900333,0.08857672574419168,0.04115699480790945,0.010884271485866197,0.25302638701771596,0.3551973467392306,0.034968101764999086,0.21619017248702865
18pZAtFkhKY,767,regular_humor,31,0.4503481097579483,0.37463201582431793,0.17501988015588252,0.00783311536736531,0.12393453994891682,0.10478718944068532,0.005559779191718271,0.0021022331664778083,0.26991609811234557,0.13228332449591929,0.17069290964038022,0.020865091261634182,0.0882430516123291,0.3890703473420393,0.04542043942567562,0.15342482948495495
1BQfaLth598,768,not_humor,31,0.34182536932489566,0.4088243615603255,0.24935026924997086,0.0013755381857458082,0.07280412057204352,0.05322607339410517,0.0016768046179711218,0.00023293966636805225,0.1148056844117931,0.10059440528012571,0.13883211701777914,0.01665728630670797,0.05701906577263388,0.46910841025472166,0.10089502052494115,0.11689368651939495
1Jb02ltCH48,769,not_humor,31,0.2691161956397756,0.553029804460464,0.17785400221304548,0.00044067384677022814,0.031328235045939144,0.04971783302701829,0.002246039734135622,0.00027094083470142176,0.07202966935226633,0.0824049485531906,0.04700954842396201,0.0718815091569277,0.05707621123010834,0.4563898536556911,0.09107109766092993,0.1941668410117047
1UWAWle0Y8s,771,dark_humor,31,0.17748023767114407,0.35912578492876024,0.4633939810878327,0.02605029060402059,0.03640411244123243,0.06359922145718648,0.014763099588068849,0.002581375991858001,0.11350912701210848,0.13469012868740865,0.08545340009544405,0.023241996896573372,0.11846048167846616,0.5315721622638164,0.02623703888797712,0.08034478426880894
1UwQQS337ww,772,not_humor,31,0.4155034929994614,0.46565779755192416,0.1188387042512336,0.010226068212725823,0.005563396435689121,0.029568406319031643,0.00073298939640799,0.00040415906691886185,0.08649221021539322,0.16335267209515517,0.15173135901756224,0.01657931952955081,0.06370546674025396,0.38163722132242495,0.14036365596562503,0.08263031430842896
1Xus64yzUFw,773,not_humor,16,0.1476560177106876,0.39404620532877743,0.4582977786194533,0.0003173684863213566,0.0016160043296622462,0.003159473802043067,0.00018646952003109618,0.00022144463673612336,0.05605239619035274,0.10748025609063916,0.04566740359587129,0.01975845122797182,0.10366266120399814,0.3921382959233597,0.04078061146719847,0.29051232361234725
1Y5ag-PtnMw,774,not_humor,31,0.25319645269173047,0.559854579458554,0.18694897506746552,0.0003628582090905477,0.0008119612964125531,0.0005953265339954787,0.00011900061133107351,0.00017544033142903278,0.019755614269900346,0.04735353435840337,0.09911890662342851,0.015788653979055402,0.11027106250854089,0.4579627620536954,0.08210833949006853,0.18739674943349055
